"NCI_U133A_21L","NCI_U133A_23L","NCI_U133A_25L","NCI_U133A_27L","NCI_U133A_29L","NCI_U133A_31L","NCI_U133A_33L","NCI_U133A_35L","NCI_U133A_38L","NCI_U133A_40L"
4.89,4.6,5.43,5.14,4.56,5.14,5.81,4.88,4.96,5.2
7.43,6.85,8.27,8.27,7.13,7.48,7.5,8.22,7.99,7.72
8.68,8.02,8.74,9.06,8.48,7.07,8.73,8.56,9.03,9.38
8.26,8.2,8.71,9.17,8.62,7.45,8.56,8.64,9.24,9.31
6.08,6.43,6.56,5.67,6.22,7.8,6.82,6.83,6.22,7.12
8.31,8.4,8.68,7.67,8.32,7.94,7.69,8.3,8.24,8.1
10.51,11.11,11.01,10.96,10.82,10.77,10.79,10.53,10.35,10.95
9.33,9.87,10.09,9.69,9.53,9.3,9.79,8.85,8.7,9.73
9.16,9.25,6.8,7.24,7.49,7.29,7.54,8.81,7.27,7.48
9.13,9.86,9.2,9.96,9.06,9.32,8.5,8.97,9.13,9.11
9.18,10.04,9.14,9.91,9.09,9.4,8.54,9.11,9.22,8.97
4.68,4.56,5.15,4.65,4.71,4.5,5.25,4.59,4.73,4.71
9.48,8.31,10,9.82,8.84,9.34,8.63,8.46,9.92,9.48
7.94,7.84,7.4,7.74,7.18,7.63,7.76,7.44,8.14,8.3
9.94,9.67,9.49,10.07,9.72,9.98,9.48,9.42,10.16,10.35
8.1,7.92,8.39,9,8.31,8.51,8.39,8.21,8.99,8.4
8.51,8.11,8.71,7.76,8.33,8.53,7.85,7.96,8.16,8.01
7.01,6.74,5.8,5.25,5.86,5.97,7.93,6.95,5.84,5.38
3.75,3.88,3.89,3.78,3.94,3.66,3.72,3.78,3.65,3.78
6.02,7.05,6.07,5.08,6.46,5.67,7.72,5.77,6.73,6.68
7.42,7.9,8.37,8.29,6.55,7.09,8.13,7.8,7.55,7.83
6.27,5.94,6.06,5.71,6.12,5.9,6.6,5.81,5.97,5.78
5.55,7.36,5.09,4.55,4.4,4.41,4.73,4.44,4.53,4.53
8.09,9.63,7.06,6.95,7.03,6.04,7.23,6.85,7.09,6.76
7.43,6.05,8.49,9.43,7.89,7.52,9.2,7.98,8.05,9.27
8.51,6.5,7.98,7.87,7.89,7.39,7.08,8.03,8.02,7.84
5.74,8.22,5.36,5.83,6.25,6.78,6.87,6.24,5.37,5.32
5.64,6.57,5.55,5.48,5.87,6.2,6.17,5.78,5.53,5.54
4.75,4.93,4.85,4.9,5.02,5.09,4.85,4.84,4.77,5.12
4.75,4.93,4.85,4.9,5.02,5.09,4.85,4.84,4.77,5.12
7.7,7.56,7.72,6.86,7.44,7.3,8.66,8.07,7.51,7.57
6.17,6.63,5.97,5.9,6.2,6.57,6.51,6,6.54,5.94
5.06,5.66,4.9,4.98,4.86,5.56,5.6,4.94,5.78,4.86
4.38,4.51,4.42,4.31,4.41,4.63,4.41,4.53,4.54,4.37
5.65,5.58,5.66,5.63,5.8,5.4,5.5,5.67,5.67,5.61
8.73,8.4,9.49,11.44,8.86,8.59,8.83,8.13,8.98,9.42
5.85,6.86,5.34,5.25,5.22,5.85,5.73,5.01,4.92,5.12
4.08,4.29,4.19,4.16,4.09,4.26,4.16,4.13,4.04,3.98
4.61,4.57,4.99,4.41,4.52,4.58,4.61,4.84,4.65,4.7
8.79,8.63,8.64,8.07,8.31,9.38,8.97,9.35,9.34,8.39
6.22,6.3,6.29,6.5,6.42,6.27,6.02,6.62,6.31,6.52
7.18,8.2,7.4,6.67,7.98,7.92,9.49,7.38,7.44,6.87
7.86,8.26,7.26,8.2,8.42,8.31,8.24,7.96,7.86,8.06
6.66,7.49,6.28,6.38,7.2,6.99,6.8,6.79,6.53,6.41
6.64,8.04,5.85,5.87,7.1,7.31,7.56,7.18,6.33,6.04
7.59,7.38,7.29,7.89,7.68,7.62,7.43,7.48,7.45,7.62
8.77,7.8,9.6,8.75,9.85,8.79,8.4,7.92,9.47,6.94
6.53,6.62,6.35,6.44,6.48,6.96,6.42,6.53,6.26,6.43
8.29,8,8.9,8.46,7.74,8.1,8.33,8.13,8.65,9.22
8.01,8.14,7.82,8.38,8.13,8.29,7.7,8.45,8.75,8.44
7.49,7.75,7.28,7.52,7.53,7.54,7.2,7.52,7.69,7.56
6.99,7.85,6.4,6.47,6.8,7.52,8.55,6.7,6.36,6.27
8.54,8.7,7.64,7.4,8.75,8.98,8.88,8.38,8.25,7.79
4.71,4.77,4.89,5.24,5.07,4.86,4.81,4.72,4.89,4.82
7.23,7.81,7.35,6.86,7.64,7.8,7.32,7.56,7.01,7.37
8.82,9.19,9.69,8.53,9.06,8.62,10.16,8.37,9.01,9.22
7.84,8.19,8.27,7.8,7.97,7.61,8.19,8.1,7.69,8.65
10.6,10.53,10.99,10.67,10.74,9.87,10.81,9.69,9.61,10.55
7.81,7.53,7.32,7.17,7.96,7.3,7.57,7.79,7.36,7.47
5.99,5.15,8.17,9.81,7.44,5.26,9.13,7.47,9.33,10.57
5.95,5.56,6.54,7.41,6.73,6.1,7.46,6.49,7.39,8.35
7.98,8.11,7.75,8.17,8.58,8.5,7.85,7.88,8.88,9.27
7.11,7.39,7.85,8.19,7.12,7.46,7.57,7.87,8.12,7.7
6.57,6.54,6.38,6.42,6.73,6.75,6.2,6.48,6.29,6.48
5.6,6.06,5.6,6.19,5.44,5.54,5.63,5.51,5.43,5.47
7.69,7.17,8.82,7.08,6.9,6.57,8.68,7.99,7.16,8.16
6.82,6.69,6.76,6.86,7,6.52,6.88,6.78,6.67,6.63
7.08,6.68,7.06,6.96,6.97,6.85,6.76,7.04,6.85,7.3
8.84,8.71,9.25,8.88,8.61,7.18,8.26,9.6,9.12,9.03
4.33,4.41,4.3,4.37,4.53,4.47,4.32,4.55,4.4,4.48
